Nr;Gebiet;gehört zu;Wahlberechtigte;;Wählende;;Ungültige Stimmen;;Gültige Stimmen;;SPD;;CDU;;Gruene;;FDP;;AfD;;CSU;;Linke;;FREIE WÄHLER;;PARTEI MENSCH UMWELT TIERSCHUTZ;;Basisdemokratische Partei Deutschland;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;Die Gerechtigkeitspartei – Team Todenhöfer;;Piratenpartei Deutschland;;Volt Deutschland;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;Südschleswigscher Wählerverband;;Partei für Verjüngungsforschung;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;Bündnis C - Christen für Deutschland;;Bayernpartei;;Marxistisch-Leninistische Partei Deutschlands;;Menschliche Welt - für das Wohl und Glücklichsein aller;;Partei des Fortschritts;;Sozialistische Gleichheitspartei, Vierte Internationale;;Bürgerrechtsbewegung Solidarität;;BÜNDNIS DEUTSCHLAND;;BSW;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;WerteUnion;;Übrige;
;;;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen
001;Flensburg – Schleswig;01;232158;232158;192866;192866;1134;1027;191732;191839;28366;30544;50822;47683;43290;30590;4484;7065;28824;29267;;;10370;15894;1544;1136;;;;;;1210;;;;;1451;1450;;;21465;20573;;;;;;;;;;53;;;;;;;;;646;329;;6045;;;;;470;
002;Nordfriesland – Dithmarschen Nord;01;186019;186019;153755;153755;1043;855;152712;152900;31169;26637;49866;45300;16627;18763;5749;7617;24472;24564;;;7919;9437;1485;1098;;;;;;1067;;;;;1172;1023;;;14253;12263;;;;;;;;;;48;;;;;;;;;;177;;4906;;;;;;
003;Steinburg – Dithmarschen Süd;01;175816;175816;146576;146576;1141;805;145435;145771;30733;25645;50928;42612;14468;16079;5647;7447;29693;29679;;;8709;9684;3120;1552;;;;;;1213;;;;;2137;1233;;;;4991;;;;;;;;;;45;;;;;;;;;;236;;5355;;;;;;
004;Rendsburg-Eckernförde;01;202737;202737;172519;172519;1152;873;171367;171646;36266;30418;56163;50231;20473;25226;8170;7956;26417;27498;;;8675;10887;1367;992;;;;;;1161;;;;;1327;974;;;11075;10500;;;;;;;;;;42;;;;;;;;;632;298;;5463;;;;;802;
005;Kiel;01;201504;201504;167205;167205;1025;901;166180;166304;36688;32088;34941;32842;43283;38149;4825;6567;17811;17883;;;15946;22779;777;575;;;;;2020;1457;;;;;2526;1927;;;7363;6343;;;;;;;;;;61;;;;;;;;;;185;;5448;;;;;;
006;Plön – Neumünster;01;173740;173740;143605;143605;1892;950;141713;142655;33977;27342;46370;40815;18852;19957;4693;6150;25249;25683;;;7623;9657;3022;1147;;;;;;992;;;;;1927;1123;;;;4530;;;;;;;;;;40;;;;;;;;;;177;;5042;;;;;;
007;Pinneberg;01;236765;236765;200312;200312;1213;1020;199099;199292;49714;40326;63231;57532;25395;28967;7674;10086;30417;31098;;;12683;15064;2190;1313;;;;;;1360;;;;;2422;2016;;;4617;3976;;;;;;;;;;47;;;;;;;;;756;385;;7122;;;;;;
008;Segeberg – Stormarn-Mitte;01;249213;249213;211550;211550;1501;1039;210049;210511;51437;40275;67881;61079;24800;28809;9417;10974;36071;36211;;;12636;14887;3262;1706;;;;;;1705;;;;;3352;2172;;;;4388;;;;;;;;;;56;;;;;;;;;1193;505;;7744;;;;;;
009;Ostholstein – Stormarn-Nord;01;181111;181111;150788;150788;1118;797;149670;149991;38071;29510;52022;46721;15636;19095;5422;7656;25929;26494;;;8232;8935;2636;1356;;;;;;1062;;;;;1722;1091;;;;3166;;;;;;;;;;42;;;;;;;;;;232;;4631;;;;;;
010;Herzogtum Lauenburg – Stormarn-Süd;01;245477;245477;208075;208075;1443;1072;206632;207003;48273;39860;67641;61515;29012;28853;7445;11091;35419;35560;;;12160;14253;3784;1770;;;;;;1364;;;;;2898;1974;;;;2732;;;;;;;;;;57;;;;;;;;;;309;;7665;;;;;;
011;Lübeck;01;178245;178245;142999;142999;1247;829;141752;142170;39809;30026;33695;32037;27477;25444;4028;5547;21972;22254;;;10175;14921;1960;1006;;;;;;1147;;;;;2350;1529;;;;2664;;;;;;;;;286;90;;;;;;;;;;198;;5307;;;;;;
01;Schleswig-Holstein;99;2262785;2262785;1890250;1890250;13909;10168;1876341;1880082;424503;352671;573560;518367;279313;279932;67554;88156;302274;306191;;;115128;146398;25147;13651;;;;;2020;13738;;;;;23284;16512;;;58773;76126;;;;;;;;;286;581;;;;;;;;;3227;3031;;64728;;;;;1272;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;13;212861;212861;171875;171875;2126;1455;169749;170420;34101;24693;35453;32209;5531;9494;4870;5613;60863;54975;;;21569;19558;4753;1977;;2310;;;;;;;;;;1050;;;;;;;;;;;;;664;183;;;;;;;;;1945;706;;17652;;;;;;
013;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;13;202444;202444;162889;162889;1663;1166;161226;161723;34654;23009;32839;29812;5747;7744;4422;4921;59416;56236;;;18094;17339;6054;1875;;2238;;;;;;;;;;997;;;;;;;;;;;;;;99;;;;;;;;;;461;;16992;;;;;;
014;Rostock – Landkreis Rostock II;13;221158;221158;179099;179099;1534;1094;177565;178005;30031;25383;34403;29907;9397;15933;5037;6057;47598;45612;;;45521;30739;3431;1505;;2783;;;;;;;;;;1702;;;;;;;;;;;;;620;238;;;;;;;;;1527;548;;17598;;;;;;
015;Vorpommern-Rügen – Vorpommern-Greifswald I;13;237079;237079;186436;186436;1784;1356;184652;185080;26883;19150;39235;32675;9064;11466;4814;6204;68842;65647;;;24635;23214;4979;2130;6200;3844;;;;;;;;;;1372;;;;;;;;;;;;;;134;;;;;;;;;;472;;18772;;;;;;
016;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;13;215716;215716;168238;168238;2154;1400;166084;166838;22871;16306;33050;28878;3787;4721;5881;5252;75083;71490;;;18008;15824;4772;1679;;2524;;;;;;;;;;645;;;;;;;;;;;;;;97;;;;;;;;;;420;;19002;;;;;2632;
017;Mecklenburgische Seenplatte II – Landkreis Rostock III;13;204474;204474;160613;160613;2186;1454;158427;159159;31002;18162;30808;28482;3370;5363;4314;4632;65035;63396;;;16952;16377;3582;1630;;1973;;;;;;;;;;584;;;;;;;;;;;;;;96;;;;;;;;;3364;724;;17740;;;;;;
13;Mecklenburg-Vorpommern;99;1293732;1293732;1029150;1029150;11447;7925;1017703;1021225;179542;126703;205788;181963;36896;54721;29338;32679;376837;357356;;;144779;123051;27571;10796;6200;15672;;;;;;;;;;6350;;;;;;;;;;;;;1284;847;;;;;;;;;6836;3331;;107756;;;;;2632;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
018;Hamburg-Mitte;02;243951;243951;189434;189434;1683;1102;187751;188332;51536;41803;31829;29588;40344;38169;6539;7745;19898;19813;;;31014;35750;1467;666;;1826;;;;1065;;;;;4688;3022;;;;;;;;;;;;;436;129;;;;;;;;;;242;;8514;;;;;;
019;Hamburg-Altona;02;188984;188984;158772;158772;1234;677;157538;158095;36910;32490;33392;30863;43349;37452;5278;7377;11902;11596;;;25270;28455;1029;362;;1134;;;;603;;;;;;2263;;;;;;;;;;;;;408;101;;;;;;;;;;155;;5244;;;;;;
020;Hamburg-Eimsbüttel;02;194724;194724;165711;165711;1139;674;164572;165037;42720;36884;34476;33328;45766;39549;6658;8099;12671;12450;;;20727;23991;1554;472;;1319;;;;633;;;;;;2703;;;;;;;;;;;;;;66;;;;;;;;;;166;;5377;;;;;;
021;Hamburg-Nord;02;222153;222153;190233;190233;1167;728;189066;189505;50336;42685;53094;49436;42876;39931;7028;11090;15266;15782;;;14915;19315;1376;590;;1492;;;;624;;;;;4175;2635;;;;;;;;;;;;;;46;;;;;;;;;;179;;5700;;;;;;
022;Hamburg-Wandsbek;02;230495;230495;179893;179893;1751;1019;178142;178874;57591;44504;43928;39925;23210;25956;5710;7345;25873;25266;;;18926;20488;2455;935;;2168;;;;830;;;;;;2656;;;;;;;;;;;;;449;83;;;;;;;;;;254;;8464;;;;;;
023;Hamburg-Bergedorf – Harburg;02;218953;218953;166191;166191;1733;1165;164458;165026;52896;39198;35154;33642;19091;20704;4152;5422;28958;28556;;;18994;22931;1813;855;;1768;;;;762;;;;;3050;2276;;;;;;;;;;;;;350;105;;;;;;;;;;279;;8528;;;;;;
02;Hamburg;99;1299260;1299260;1050234;1050234;8707;5365;1041527;1044869;291989;237564;231873;216782;214636;201761;35365;47078;114568;113463;;;129846;150930;9694;3880;;9707;;;;4517;;;;;11913;15555;;;;;;;;;;;;;1643;530;;;;;;;;;;1275;;41827;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
024;Aurich – Emden;03;189800;189800;155709;155709;1282;1024;154427;154685;63565;44286;34069;36007;7791;12748;3569;5052;31160;32478;;;8949;11682;;1316;4303;2530;;388;;642;;;;249;;594;;;;;;;;72;;;;;;34;;;;;;;;;;161;;6446;;;;;1021;
025;Unterems;03;237527;237527;198291;198291;1448;1067;196843;197224;44288;42893;79773;64643;13738;14267;4977;7717;40000;41176;;;10835;12955;3232;1428;;2081;;540;;863;;;;271;;677;;;;;;;;102;;;;;;27;;;;;;;;;;240;;7344;;;;;;
026;Friesland – Wilhelmshaven – Wittmund;03;185863;185863;150781;150781;1152;877;149629;149904;52913;38211;40089;39618;8630;12572;3974;5961;29525;30278;;;8246;10896;2534;1232;;2283;1189;550;1508;827;;;;235;1021;756;;;;;;;;114;;;;;;51;;;;;;;;;;199;;6121;;;;;;
027;Oldenburg – Ammerland;03;229344;229344;194106;194106;1390;925;192716;193181;66280;46024;46173;46074;28728;31857;5996;8555;25045;24919;;;15673;21699;2071;945;;2027;;337;;966;;;;269;2750;1722;;;;;;;;173;;;;;;55;;;;;;;;;;200;;7359;;;;;;
028;Delmenhorst – Wesermarsch – Oldenburg-Land;03;225013;225013;185081;185081;1543;1000;183538;184081;48627;43835;53760;48101;18021;18435;10206;9047;35329;35955;;;12645;13613;3925;1917;;2395;;402;;862;;;;289;;1062;;;;;;;;130;;;;;;30;;;;;;;;;1025;378;;7630;;;;;;
029;Cuxhaven – Stade II;03;187076;187076;155176;155176;1143;788;154033;154388;46915;37040;50395;45964;11030;13656;4166;5823;30472;30933;;;7968;9280;3087;1232;;2095;;530;;635;;;;225;;967;;;;;;;;65;;;;;;24;;;;;;;;;;190;;5729;;;;;;
030;Stade I – Rotenburg II;03;197850;197850;167119;167119;1217;777;165902;166342;42393;36582;60301;51046;16205;18203;4663;6693;29890;30498;;;10350;11789;;1111;;1765;;449;;816;;;;287;2100;1238;;;;;;;;113;;;;;;27;;;;;;;;;;218;;5507;;;;;;
031;Mittelems;03;233784;233784;199529;199529;1210;915;198319;198614;48525;42166;86795;78008;14462;17256;6904;8921;27994;28483;;;10171;12609;2833;1267;;1618;;336;;764;;;;222;;729;;;;;;;;103;;;;;;28;;;;;;;;;635;287;;5817;;;;;;
032;Cloppenburg – Vechta;03;225099;225099;187174;187174;1198;997;185976;186177;32515;29053;85241;73616;11280;13277;6135;8432;38366;38357;;;9485;11518;2954;1703;;1533;;366;;638;;;;256;;851;;;;;;;;104;;;;;;22;;;;;;;;;;231;;6220;;;;;;
033;Diepholz – Nienburg I;03;194010;194010;162072;162072;1113;755;160959;161317;44311;36820;56910;49080;13005;16558;5318;7376;27353;28346;;;9613;10982;4449;1943;;1807;;414;;694;;;;234;;807;;;;;;;;95;;;;;;29;;;;;;;;;;212;;5920;;;;;;
034;Osterholz – Verden;03;196082;196082;166157;166157;1094;762;165063;165395;40963;38009;59321;46321;18449;20450;4952;6942;28052;29180;;;11071;12060;;953;;2005;;434;;699;;;;248;2255;1176;;;;;;;;114;;;;;;37;;;;;;;;;;236;;6531;;;;;;
035;Rotenburg I – Heidekreis;03;168109;168109;139393;139393;1141;803;138252;138590;58184;34349;37770;38933;7411;12795;3261;5118;26667;27466;;;;9777;2923;1329;;1695;;295;;591;;;;203;2036;998;;;;;;;;89;;;;;;20;;;;;;;;;;169;;4763;;;;;;
036;Harburg;03;202671;202671;175134;175134;1176;705;173958;174429;45742;35733;57718;53029;18423;22502;6047;8478;28906;29324;;;10309;12298;3142;1602;;1991;;491;;704;;;;258;2625;1461;;;;;;;;105;;;;;;31;;;;;;;;;;189;;6233;;;;;1046;
037;Lüchow-Dannenberg – Lüneburg;03;182679;182679;154831;154831;944;676;153887;154155;42817;32399;40541;37097;25243;25602;3894;5627;23895;25017;;;10925;15934;3710;1880;;1766;1524;565;;802;;;;258;1338;977;;;;;;;;88;;;;;;35;;;;;;;;;;146;;5962;;;;;;
038;Osnabrück-Land;03;199480;199480;167741;167741;1132;844;166609;166897;40394;37108;60954;53514;16759;16444;4914;7189;29983;30206;;;9516;10900;2850;1477;;1509;;481;;630;;;;247;1239;702;;;;;;;;99;;;;;;35;;;;;;;;;;195;;6161;;;;;;
039;Stadt Osnabrück;03;192267;192267;161536;161536;1020;664;160516;160872;45260;39356;47728;42265;21953;25670;4178;6650;18264;18544;;;18862;17804;1841;846;;1325;;426;;693;;;;223;1962;1259;;;;;;;;108;;;;;;51;;;;;;;;;;141;;5511;;;;;468;
040;Nienburg II – Schaumburg;03;191028;191028;157507;157507;1100;823;156407;156684;49658;38093;44786;42907;11724;15550;4383;5936;31459;32249;;;8669;10235;2634;1584;;1985;;318;1656;763;;;;247;1015;723;;;;;;;;131;;;;;;30;;;;;;;;;;205;;5728;;;;;423;
041;Stadt Hannover I;03;175419;175419;143759;143759;1063;803;142696;142956;48668;33839;32818;30595;22397;25754;3994;6177;18719;18414;;;12063;17019;1077;529;;1417;;249;;659;;;728;326;1908;1202;;;;;;;;125;;;;;324;82;;;;;;;;;;147;;6422;;;;;;
042;Stadt Hannover II;03;189782;189782;159052;159052;987;782;158065;158270;57216;34913;28168;29685;30166;33650;3769;6136;16190;16411;;;17908;26100;863;529;;1446;;220;1516;859;;;491;345;1529;1460;;;;;;;;140;;;;;249;82;;;;;;;;;;149;;6145;;;;;;
043;Hannover-Land I;03;227327;227327;192227;192227;1263;984;190964;191243;52312;43417;66483;56900;18119;21753;5101;8729;33139;33247;;;10430;13208;2523;1275;;2330;;417;;723;;;;301;1854;986;;;;;;;;117;;;;;;50;;;;;;;;;1003;340;;7450;;;;;;
044;Celle – Uelzen;03;212344;212344;174910;174910;1288;970;173622;173940;40060;36321;61114;51631;16097;17787;5920;7504;34961;35375;;;10277;12190;3441;1691;;2263;;497;;804;;;;282;1752;964;;;;;;;;101;;;;;;28;;;;;;;;;;221;;6281;;;;;;
045;Gifhorn – Peine;03;216949;216949;183844;183844;1228;949;182616;182895;61985;43689;50970;50192;11760;17417;4714;6809;38892;38988;;;9063;11869;2663;1399;;2313;;554;;804;;;;286;1656;1045;;;;;;;;141;;;;;;43;;;;;;;;;913;360;;6986;;;;;;
046;Hameln-Pyrmont – Holzminden;03;178761;178761;144827;144827;1213;886;143614;143941;47384;35445;41013;38855;10269;13527;4623;5667;29980;30515;;;7728;9575;2617;1052;;1820;;400;;559;;;;219;;614;;;;;;;;85;;;;;;27;;;;;;;;;;173;;5408;;;;;;
047;Hannover-Land II;03;234055;234055;197760;197760;1288;1079;196472;196681;62395;47478;59006;53994;17550;23995;4924;7840;33775;34337;;;10882;14602;2208;1386;3346;2426;;414;;770;;;933;448;1453;1032;;;;;;;;158;;;;;;49;;;;;;;;;;205;;7547;;;;;;
048;Hildesheim;03;211156;211156;176681;176681;1305;920;175376;175761;53925;42610;51421;47275;16511;20303;4369;6535;31963;31741;;;12021;14749;2120;991;;2245;;399;;812;;;;257;1416;898;;;;;;;;100;;;;;;33;;;;;;;;;;233;;6580;;;;;1630;
049;Salzgitter – Wolfenbüttel;03;195218;195218;159604;159604;1324;1007;158280;158597;48410;38650;44807;42085;10910;13824;3934;5619;33787;33836;;;11139;12357;2291;1129;;2024;1406;539;;732;;;;267;1596;816;;;;;;;;105;;;;;;31;;;;;;;;;;179;;6404;;;;;;
050;Braunschweig;03;186356;186356;155379;155379;1116;824;154263;154555;51551;34992;38156;34956;21983;27788;4461;6142;20471;20622;;;12660;17979;1668;799;;1661;;375;;869;;;;287;2447;1729;;;;;;;;145;;;;;251;87;;;;;;;;;;158;;5966;;;;;615;
051;Helmstedt – Wolfsburg;03;176276;176276;141889;141889;1246;837;140643;141052;40099;32716;43511;39109;9630;11878;4539;5335;31351;30969;;;8687;9406;;739;;1908;;436;;684;;;;286;1831;911;;;;;;;;97;;;;;214;57;;;;;;;;;;181;;6340;;;;;781;
052;Goslar – Northeim – Göttingen II;03;191425;191425;155583;155583;1421;971;154162;154612;46873;38452;46699;43211;11922;13463;3999;6116;30491;30927;;;9186;10715;2557;1171;;1945;;358;;723;;;;245;1684;882;;;;;;;;100;;;;;;24;;;;;;;;;751;246;;6034;;;;;;
053;Göttingen I;03;210201;210201;175544;175544;1341;917;174203;174627;44620;38345;50738;44788;26770;27390;6320;6911;24752;25266;;;15937;19429;2217;1126;;1864;;300;;756;;;;262;2557;1199;;;;;;;;127;;;;;292;84;;;;;;;;;;179;;6601;;;;;;
03;Niedersachsen;99;6042951;6042951;5038396;5038396;36386;26331;5002010;5012065;1468848;1152824;1557228;1409499;486936;576371;148204;205037;880831;894057;;;321268;405229;68430;37581;7649;58072;4119;12480;4680;22343;;;2152;8032;40024;30437;;;;;;;;3346;;;;;1330;1243;;;;;;;;;4327;6368;;189146;;;;;5984;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
054;Bremen I;04;239823;239823;194782;194782;1651;983;193131;193799;48670;42455;46317;41196;36566;35822;5590;7417;22752;22792;;;25807;30834;;598;;;;;2226;1341;;;;;3402;2194;;;;;;148;;;;;;;282;82;;305;;;;;;;800;483;;7973;;159;;;719;
055;Bremen II – Bremerhaven;04;210686;210686;155596;155596;1661;1137;153935;154459;46600;38145;32356;30371;16716;18466;4069;4877;29888;29702;;;18588;20627;1758;1031;;;;;;1241;;;;;2339;1636;;;;;;156;;;;;;;454;125;;389;;;;;;;1167;490;;7104;;99;;;;
04;Bremen;99;450509;450509;350378;350378;3312;2120;347066;348258;95270;80600;78673;71567;53282;54288;9659;12294;52640;52494;;;44395;51461;1758;1629;;;;;2226;2582;;;;;5741;3830;;;;;;304;;;;;;;736;207;;694;;;;;;;1967;973;;15077;;258;;;719;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
056;Prignitz – Ostprignitz-Ruppin – Havelland I;12;169648;169648;133067;133067;1431;1046;131636;132021;29264;20999;25861;22920;4025;5782;2847;3355;51212;48277;;;13866;12905;4561;1914;;;;;;913;;;;;;518;;;;;;;;;;;;;;74;;;;;;;;;;291;;14073;;;;;;
057;Uckermark – Barnim I;12;180127;180127;142112;142112;1533;1024;140579;141088;27211;19508;25661;22700;5460;6833;3323;3745;53908;50763;;;17200;15480;5175;2209;;;;;2641;1302;;;;;;695;;;;;;;;;;;;;;83;;;;;;;;;;274;;17496;;;;;;
058;Oberhavel – Havelland II;12;251732;251732;211112;211112;1820;1290;209292;209822;41822;32266;51984;45580;13889;17620;6039;7579;64556;61545;;;19831;19602;6804;2967;;;;;4367;2316;;;;;;1444;;;;;;;;;;;;;;138;;;;;;;;;;406;;18359;;;;;;
059;Märkisch-Oderland – Barnim II;12;231597;231597;193032;193032;1917;1210;191115;191822;35785;25134;34597;32399;7625;11132;4693;5552;69016;64893;;;25444;21638;6648;3329;;;;;3048;1842;;;;;2065;1466;;;;;;;;;;;;;;135;;;;;;;;;2194;717;;23585;;;;;;
060;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;12;201899;201899;161158;161158;1821;1259;159337;159899;41053;27515;30943;29337;5957;9603;3718;4627;53605;50225;;;17348;17229;4795;2320;;;;;;1224;;;;;1918;1122;;;;;;;;;;;;;;102;;;;;;;;;;351;;16244;;;;;;
061;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;12;234264;234264;200725;200725;1616;1091;199109;199634;43336;34040;40930;38263;31619;29115;7959;8599;37823;36947;;;27524;29408;3905;1852;;;;;;1605;;;;;3405;2403;;;;;;;;;;;;;;123;;;;;;;;;1372;621;;16658;;;;;1236;
062;Dahme-Spreewald – Teltow-Fläming III;12;241717;241717;200776;200776;2006;1431;198770;199345;35053;29306;47404;39080;10248;12433;4967;6970;66811;63990;;;22423;20401;5510;2852;;;;;3126;1902;;;;;2150;1414;;;;;;;;;;;;;;135;;;;;;;;;;467;;20395;;;;;1078;
063;Frankfurt (Oder) – Oder-Spree;12;187968;187968;149770;149770;1575;1092;148195;148678;30829;20169;27856;24737;4463;7066;3528;4677;56620;52666;;;16785;15771;5726;2155;;;;;;1321;;;;;;827;;;;;;;;;;;;;;151;;;;;;;;;;403;;18735;;;;;2388;
064;Cottbus – Spree-Neiße;12;165942;165942;132378;132378;1470;976;130908;131402;30548;18348;22712;20932;;5275;3559;4249;54981;51313;;;12819;12144;2882;1614;;;;;2257;1235;;;;;1150;742;;;;;;;;;;;;;;92;;;;;;;;;;408;;15050;;;;;;
065;Elbe-Elster – Oberspreewald-Lausitz;12;169189;169189;134486;134486;1413;1003;133073;133483;22087;16688;24330;22039;2703;3732;3821;4112;57194;54660;;;15939;11645;6999;2754;;;;;;1045;;;;;;738;;;;;;;;;;;;;;85;;;;;;;;;;393;;15592;;;;;;
12;Brandenburg;99;2034083;2034083;1658616;1658616;16602;11422;1642014;1647194;336988;243973;332278;297987;85989;108591;44454;53465;565726;535279;;;189179;176223;53005;23966;;;;;15439;14705;;;;;10688;11369;;;;;;;;;;;;;;1118;;;;;;;;;3566;4331;;176187;;;;;4702;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
